State,Cities,Tourist Places,,,,
Maharashtra,Pune,Sinhagad Fort,Shaniwar Wada,Aga Khan Palace,Rajiv Gandhi Zoological Park,Shreemant Dagdusheth Halwai Ganpati Mandir
,Mumbai,Gateway Of India,Chhatrapati Shivaji Maharaj Terminus,Shree Siddhivinayak Temple,Marine Drive,Sanjay Gandhi National Park
,Nagpur,Futala Lake,Shri Ganesh Temple Tekdi,Zero Mile Stone,Raman Science Centre and Planetarium,Dragon Palace Temple
,Kolhapur,Dajipur Wildlife Sanctuary,Rautwadi Waterfall,Shree Kopeshwar Mandir,Town Hall museum,Teen Darwaja
,Nashik,Panchvati,Saptashrungi,Trimbakeshwar,Sula Vineyard,Dudhsagar falls
,,,,,,
Tamil Nadu,Chennai,VGP Snow Kingdom,Kapaleeshwarar Temple,San Thome Church,Marina Beach,VGP Marine Kingdom
,Ooty,Doddabetta Peak,Pykara Waterfalls,"Murugan Temple, Elk Hill",Ketti Valley View Point,Karnataka Siri Horticulture Garden
,Mahabalipuram,Shore Temple,Krishna's Butter Ball,Descent of the Ganga River,India Seashell Museum,Varaha Cave
,Kodaikanal,Kurinji Andavar Temple,Kodaikanal Lake,Coakers Walk,Pillar Rocks Road,Guna Cave
,Kanyakumari,Thiruvalluvar Statue,Kanyakumari Bhagavathy Temple,,Padmanabhapuram Palace,Sunset View Point
,,,,,,
Karnataka,Bengaluru,ISKCON temple,Bannerghatta Zoo,Tipu Sultan's Summer Palace,Bengaluru Palace,Lalbagh Botanical Garden
,Hampi,"Virupaksha Temple, Hampi",Shree Vijaya Vitthala Temple,Elephant Stables,Saasivekaalu Ganesha,Matanga Hill
,Mysuru,Mysore Palace,Sri Chamarajendra Zoological Gardens,Ranganatittu Bird Sanctuary,Sri Chamundeshwari Temple,RAILWAY MUSEUM MYSURU
,Gokarna,Om Beach,Kudle Beach Road,Shri Mahabaleshwara Swami Temple,Hilltop Sunset View,Gogarbha Cave
,Murdeshwar,Raaja Gopura,Shri Murudeshwara Shivana Temple,Shri Murdeshwara Beach,Shiva Devasthana,Murdeshwar Island
,,,,,,
Kerala,Kochi,Cherai Beach,Mattancherry Palace,Hill Palace Museum,Willingdon Island,Kerala Folklore Museum
,Munnar,Eravikulam National Park,Mattupetty Dam,Anamudi,Pothamedu View Point,Attukad Waterfalls
,Thiruvananthapuram,Sree Padmanabhaswamy,Shangumugham Beach,Veli Lake Tourist Village,Thiruvananthapuram Zoo,Sri Chitra Art Gallery
,Kovalam,Samudra Beach Park,Light House Road,Vellayani Lake,Samudra Beach,Kerala Arts & Crafts Village
,Wayanad,Edakkal Caves,Banasura Sagar Dam,Soochipara Waterfalls,Kuruvadweep,Pookode Lake
,,,,,,
Goa,Panaji,Deltin Royale,Goa State Museum,Goa Science Centre & Planetarium,Reis Magos Fort,Maruti Temple
,Vagator,Ozran Beach,Little Vagator,Shiva's Face,Aguada Fort,Sunset Point
,Agonda,Agonda Beach,Butterfly Beach,Cola beach,Cabo de Rama Fort,Cola Beach Lagoon
,Mandrem,Aswem,Aguada Fort,Kiteguru Kitesurf,Ashvem Beach,Mandrem Beach
,Baga,Anjuna Beach,Anjuna Flea Market,Saturday Night Market,Calangute,Titos Lane
,,,,,,
Telangana,Hyderabad,Ramoji Film City,Golconda Fort,Birla Mandir,Salar Jung Museum,Nehru Zoological Park
,Warangal,Kakatiya Musical Garden,Thousand Pillar Temple,Warangal Fort,Kakatiya Kala Thoranam,Bhadrakali Lake
,Nizamabad,Dichpalli Ramalayam,Ali Sagar Lake,Nizamabad-Mallaram forest,Nizamabad Fort,Raghunath Temple
,Secunderabad,Snow World,Hussain Sagar,Sanjeevaiah Children's Park,Shamirpet Deer Park,Indira Park
,Nalgonda,Bhongir Fort,Sri Chaya Someshwara Temple,Pachchala Someshwara Temple,Udaya Samudram,Kapuralla Gutta
